visit_id,timestamp,matched_customer_id,true_customer_id,status,confidence
1,2026-08-04T01:18:08,24.0,24,returning_customer,0.4384
2,2026-08-04T01:18:08,5.0,5,returning_customer,0.679
3,2026-08-04T01:18:08,15.0,15,returning_customer,0.4939
4,2026-08-04T01:18:08,30.0,30,returning_customer,0.6228
5,2026-08-04T01:18:08,37.0,37,returning_customer,0.4041
6,2026-08-04T01:18:08,,15,new_customer,0.2099
7,2026-08-04T01:18:08,36.0,36,returning_customer,0.3898
8,2026-08-04T01:18:08,4.0,4,returning_customer,0.3617
9,2026-08-04T01:18:08,33.0,33,returning_customer,0.6507
10,2026-08-04T01:18:08,17.0,17,returning_customer,0.606
11,2026-08-04T01:18:08,14.0,14,returning_customer,0.7373
12,2026-08-04T01:18:08,38.0,38,returning_customer,0.6496
13,2026-08-04T01:18:08,17.0,17,returning_customer,0.4325
14,2026-08-04T01:18:08,27.0,27,returning_customer,0.5769
15,2026-08-04T01:18:08,39.0,39,returning_customer,0.4575
16,2026-08-04T01:18:08,20.0,20,returning_customer,0.3973
17,2026-08-04T01:18:08,2.0,2,returning_customer,0.3565
18,2026-08-04T01:18:08,7.0,7,returning_customer,0.468
19,2026-08-04T01:18:08,,0,new_customer,0.2643
20,2026-08-04T01:18:08,36.0,36,returning_customer,0.6019
21,2026-08-04T01:18:08,23.0,23,returning_customer,0.4699
22,2026-08-04T01:18:08,21.0,21,returning_customer,0.5087
23,2026-08-04T01:18:08,1.0,1,returning_customer,0.4097
24,2026-08-04T01:18:08,38.0,21,returning_customer,0.3245
25,2026-08-04T01:18:08,20.0,20,returning_customer,0.307
26,2026-08-04T01:18:08,35.0,35,returning_customer,0.4251
27,2026-08-04T01:18:08,38.0,38,returning_customer,0.4542
28,2026-08-04T01:18:08,26.0,26,returning_customer,0.6279
29,2026-08-04T01:18:08,3.0,3,returning_customer,0.3577
30,2026-08-04T01:18:08,5.0,5,returning_customer,0.4474
31,2026-08-04T01:18:08,18.0,18,returning_customer,0.5127
32,2026-08-04T01:18:08,16.0,16,returning_customer,0.489
33,2026-08-04T01:18:08,7.0,7,returning_customer,0.4443
34,2026-08-04T01:18:08,35.0,35,returning_customer,0.5237
35,2026-08-04T01:18:08,32.0,32,returning_customer,0.5767
36,2026-08-04T01:18:08,8.0,8,returning_customer,0.3578
37,2026-08-04T01:18:08,1.0,1,returning_customer,0.4269
38,2026-08-04T01:18:08,14.0,14,returning_customer,0.6716
39,2026-08-04T01:18:08,19.0,19,returning_customer,0.3931
